5000 0.0226826
6000 0.0281925
7000 0.0383355
8000 0.0503532
9000 0.063326
10000 0.0782718
11000 0.0944439
12000 0.112266
13000 0.131729
14000 0.152702
15000 0.17562
16000 0.199361
17000 0.225044
18000 0.252254
19000 0.281806
20000 0.311916
21000 0.343182
22000 0.377341
23000 0.412399
24000 0.448496
25000 0.486256
26000 0.525924
27000 0.567346
28000 0.609815
29000 0.654785
30000 0.700029
31000 0.747407
32000 0.796377
33000 0.846857
34000 0.898963
35000 0.952862
36000 1.00792
37000 1.06452
38000 1.12287
39000 1.18307
40000 1.24601
41000 1.30853
42000 1.37312
43000 1.43883
44000 1.50731
45000 1.57612
46000 1.645
47000 1.71947
48000 1.79336
49000 1.88859
