1000 0.00119567
2000 0.00417721
3000 0.00942764
4000 0.0167305
5000 0.0261677
6000 0.0376672
7000 0.0511891
8000 0.0669765
9000 0.0847105
10000 0.104549
11000 0.126609
12000 0.150774
13000 0.17686
14000 0.205181
15000 0.23572
16000 0.268106
17000 0.302718
18000 0.339437
19000 0.378374
20000 0.419181
21000 0.462172
22000 0.507299
23000 0.554574
24000 0.603972
25000 0.657358
26000 0.709559
27000 0.765243
28000 0.822897
29000 0.882148
30000 0.945215
31000 1.00814
32000 1.07426
33000 1.1426
34000 1.21439
35000 1.28544
36000 1.36159
37000 1.43667
38000 1.51702
39000 1.59659
40000 1.67893
