
1000 	  0.00103971
2000 	  0.00403918
3000  0.009013
4000  0.016116
5000  0.025027
6000  0.036629
7000  0.050328
8000  0.063784
9000  0.081121
10000  0.099536
11000  0.119845
12000  0.143213
13000  0.167785
14000  0.19344
15000  0.221901
16000  0.253208
17000  0.286014
18000  0.319535
19000  0.355654
20000  0.395004
21000  0.434785
22000  0.47875
23000  0.521424
24000  0.567002
25000  0.616737
26000  0.665571
27000  0.717992
28000  0.77162
29000  0.828513
30000  0.885534
31000  0.945638
32000  1.00804
33000  1.07162
34000  1.13976
35000  1.20541
36000  1.27648
37000  1.34648
38000  1.42066
39000  1.49768
40000  1.57606
41000  1.65307
42000  1.73503
43000  1.81835
44000  1.9064
45000  1.99124
46000  2.08143
47000  2.17193
48000  2.2657
49000  2.36045
