
1000 0.0003907
2000 0.0012118
3000 0.0015577
4000 0.0025045
5000 0.0035137
6000 0.004312
7000 0.0043713
8000 0.0056465
9000 0.0072556
10000 0.0086725
11000 0.0105228
12000 0.0124789
13000 0.0147158
14000 0.0170842
15000 0.0196494
16000 0.0220023
17000 0.0248056
18000 0.0282278
19000 0.0309268
20000 0.0345585
21000 0.0377677
22000 0.0414561
23000 0.0451732
24000 0.0492344
25000 0.0534308
26000 0.0578574
27000 0.0621427
28000 0.0673508
29000 0.0722211
30000 0.0777626
31000 0.0826422
32000 0.0878003
33000 0.0936694
34000 0.0993809
35000 0.105377
36000 0.111565
37000 0.117099
38000 0.12481
39000 0.130193
40000 0.136905
41000 0.144718
42000 0.151596
43000 0.157794
44000 0.166566
45000 0.174119
46000 0.18215
47000 0.189029
48000 0.198162
49000 0.206351
