1000000 0.000107353
2000000 0.000161214
3000000 0.000266049
4000000 0.000349911
5000000 0.000468816
6000000 0.000537826
7000000 0.000592388
8000000 0.000719068
9000000 0.00105446
10000000 0.00119578
11000000 0.00127476
12000000 0.00134939
13000000 0.00146961
14000000 0.00157227
15000000 0.00166993
16000000 0.00176343
17000000 0.00202002
18000000 0.00208602
19000000 0.00215346
20000000 0.00225929
21000000 0.00235849
22000000 0.00243928
23000000 0.00258837
24000000 0.0026099
25000000 0.00269719
26000000 0.00301007
